name,offices,description,address1,address2,zip_code,city,state_code,country_code,latitude,longitude
Plazes,"[{'description': None, 'address1': 'Monbijouplatz, 5', 'address2': '', 'zip_code': '10178', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': 52.523402, 'longitude': 13.398694}]",,"Monbijouplatz, 5",,10178,Berlin,,DEU,52.523402,13.398694
babbel,"[{'description': 'Lesson Nine GmbH', 'address1': 'Bergmannstr. 5', 'address2': '', 'zip_code': '10961', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': 52.4897, 'longitude': 13.38861}]",Lesson Nine GmbH,Bergmannstr. 5,,10961,Berlin,,DEU,52.4897,13.38861
Metaversum,"[{'description': None, 'address1': 'Rungestrasse 20', 'address2': '', 'zip_code': 'D-10179', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': 52.512249, 'longitude': 13.419841}]",,Rungestrasse 20,,D-10179,Berlin,,DEU,52.512249,13.419841
gate5,"[{'description': None, 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': 52.52348, 'longitude': 13.411494}]",,,,,Berlin,,DEU,52.52348,13.411494
plista,"[{'description': 'Headquarter', 'address1': 'Torstraße 33-35', 'address2': '', 'zip_code': '10119', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': 52.5283614, 'longitude': 13.4124563}]",Headquarter,Torstraße 33-35,,10119,Berlin,,DEU,52.5283614,13.4124563
SulfurCell,"[{'description': 'Corporate Headquarters', 'address1': 'Barbara McClintock', 'address2': 'Str.11', 'zip_code': '12489', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': 52.432644, 'longitude': 13.522974}]",Corporate Headquarters,Barbara McClintock,Str.11,12489,Berlin,,DEU,52.432644,13.522974
DaWanda,"[{'description': '', 'address1': 'Linienstrasse 139', 'address2': '', 'zip_code': '10115', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': 52.52647, 'longitude': 13.3892214}]",,Linienstrasse 139,,10115,Berlin,,DEU,52.52647,13.3892214
ResearchGate,"[{'description': 'HQ', 'address1': 'Invalidenstr. 115', 'address2': '', 'zip_code': '10115', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': 52.5308516, 'longitude': 13.3842605}]",HQ,Invalidenstr. 115,,10115,Berlin,,DEU,52.5308516,13.3842605
Nanotron Technologies,"[{'description': 'Nanotron Technologies', 'address1': 'Alt-Moabit 60', 'address2': '', 'zip_code': '10555', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': 52.5242594, 'longitude': 13.3278512}]",Nanotron Technologies,Alt-Moabit 60,,10555,Berlin,,DEU,52.5242594,13.3278512
MergeOptics,"[{'description': 'Headquarter, Berlin', 'address1': 'Am Borsigturm 17', 'address2': '13507 Berlin/Germany', 'zip_code': '', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': 52.5836506, 'longitude': 13.2855038}]","Headquarter, Berlin",Am Borsigturm 17,13507 Berlin/Germany,,Berlin,,DEU,52.5836506,13.2855038
My-Hammer,"[{'description': 'MY-HAMMER AG', 'address1': 'Mauerstr. 79', 'address2': '', 'zip_code': '10117', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': 52.5092312, 'longitude': 13.3883606}]",MY-HAMMER AG,Mauerstr. 79,,10117,Berlin,,DEU,52.5092312,13.3883606
Moviepilot,"[{'description': 'German Headquarters', 'address1': 'Mehringdamm 33', 'address2': '', 'zip_code': '10961', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': 52.4947266, 'longitude': 13.398504}, {'description': 'US Office', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Los Angeles', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 34.0522342, 'longitude': -118.2436849}]",German Headquarters,Mehringdamm 33,,10961,Berlin,,DEU,52.4947266,13.398504
Webtrekk,"[{'description': 'World Headquarters', 'address1': 'Hannoversche Straße 19', 'address2': '', 'zip_code': '10115', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': 52.5279255, 'longitude': 13.3813542}]",World Headquarters,Hannoversche Straße 19,,10115,Berlin,,DEU,52.5279255,13.3813542
