name,lat,lon,type,city,category
Ludosfera Sll,41.398219,2.155636,"{'typepoint': {'type': 'Point', 'coordinates': [41.398219, 2.155636]}}",Barcelona,child care
EBM Xiroi,41.387858,2.132165,"{'typepoint': {'type': 'Point', 'coordinates': [41.387858, 2.132165]}}",Barcelona,child care
Escola Bressol Petits,41.393697,2.170025,"{'typepoint': {'type': 'Point', 'coordinates': [41.393697, 2.170025]}}",Barcelona,child care
"Sol Solet, Llar D'Infants",41.397884,2.180625,"{'typepoint': {'type': 'Point', 'coordinates': [41.397884, 2.180625]}}",Barcelona,child care
Llar d'Infants I-Beth,41.380198,2.148764,"{'typepoint': {'type': 'Point', 'coordinates': [41.380198, 2.148764]}}",Barcelona,child care
Escola Bressol Municipal Barrufets,41.408167,2.170923,"{'typepoint': {'type': 'Point', 'coordinates': [41.408167, 2.170923]}}",Barcelona,child care
Guardería Hamelin,41.393059,2.139467,"{'typepoint': {'type': 'Point', 'coordinates': [41.393059, 2.139467]}}",Barcelona,child care
Muksut of Poblenou,41.399533,2.196269,"{'typepoint': {'type': 'Point', 'coordinates': [41.399533, 2.196269]}}",Barcelona,child care
El Tricicle,41.374278,2.138011,"{'typepoint': {'type': 'Point', 'coordinates': [41.374278, 2.138011]}}",Barcelona,child care
Xantala,41.402963,2.198044,"{'typepoint': {'type': 'Point', 'coordinates': [41.402963, 2.198044]}}",Barcelona,child care
