name,lat,lon,type,city,category
FRÖBEL-Kindergarten Schatzinsel,52.512385,13.406038,"{'typepoint': {'type': 'Point', 'coordinates': [52.512385, 13.406038]}}",Berlin,child care
Kinderladen Emil Kirschkern,52.529954,13.398013,"{'typepoint': {'type': 'Point', 'coordinates': [52.529954, 13.398013]}}",Berlin,child care
FRÖBEL-Kindergarten Casa Fantasia,52.535267,13.399369,"{'typepoint': {'type': 'Point', 'coordinates': [52.535267, 13.399369]}}",Berlin,child care
FRÖBEL-Kindergarten kaleidoscope,52.502381,13.43597,"{'typepoint': {'type': 'Point', 'coordinates': [52.502381, 13.43597]}}",Berlin,child care
KiMu Haltestelle,52.512465,13.467076,"{'typepoint': {'type': 'Point', 'coordinates': [52.512465, 13.467076]}}",Berlin,child care
FRÖBEL-Kindergarten Am Ring,52.514992,13.472276,"{'typepoint': {'type': 'Point', 'coordinates': [52.514992, 13.472276]}}",Berlin,child care
FRÖBEL-Kindergarten Wirbelwind,52.493528,13.458451,"{'typepoint': {'type': 'Point', 'coordinates': [52.493528, 13.458451]}}",Berlin,child care
John F. Kennedy Friendship Center e.V. Kita,52.454612,13.310066,"{'typepoint': {'type': 'Point', 'coordinates': [52.454612, 13.310066]}}",Berlin,child care
Kita Württemberg Allee,52.512555,13.260816,"{'typepoint': {'type': 'Point', 'coordinates': [52.512555, 13.260816]}}",Berlin,child care
Småland,52.469804,13.367184,"{'typepoint': {'type': 'Point', 'coordinates': [52.469804, 13.367184]}}",Berlin,child care
