name,offices,description,address1,address2,zip_code,city,state_code,country_code,latitude,longitude
Babelgum,"[{'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 53.344104, 'longitude': -6.267494}]",,,,,London,,GBR,53.344104,-6.267494
Kelkoo,"[{'description': 'London Office', 'address1': '6th Floor Portland House', 'address2': '', 'zip_code': 'SW1E 5BH', 'city': 'London', 'state_code': None, 'country_code': 'USA', 'latitude': 37.09024, 'longitude': -95.712891}]",London Office,6th Floor Portland House,,SW1E 5BH,London,,USA,37.09024,-95.712891
ReachLocal,"[{'description': 'Europe Headquarters', 'address1': '2 Queen Caroline St.', 'address2': 'Hammersmith', 'zip_code': '', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 41.53155, 'longitude': -72.188584}, {'description': 'Canada Headquarters', 'address1': '1090 Don Mills Road', 'address2': 'Suite 403B', 'zip_code': 'M3C 3R6', 'city': 'Toronto', 'state_code': None, 'country_code': 'CAN', 'latitude': 43.7192415, 'longitude': -79.338246}, {'description': 'World/US Headquarters', 'address1': '21700 Oxnard St.', 'address2': 'Ste. 1600', 'zip_code': '91367', 'city': 'Woodland Hills', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}, {'description': 'Australia Headquarters', 'address1': '3 Richardson Place, Binary Centre', 'address2': 'Building 1, Level 5, Ste. 2', 'zip_code': 'NSW 2113', 'city': 'North Ryde', 'state_code': None, 'country_code': 'AUS', 'latitude': None, 'longitude': None}, {'description': 'Asia Headquarters', 'address1': 'Ark Yagi Hills 10F, 1-8-7', 'address2': 'Roppongim Minato-ku', 'zip_code': '106-0032', 'city': 'Tokyo', 'state_code': None, 'country_code': 'JPN', 'latitude': None, 'longitude': None}]",Europe Headquarters,2 Queen Caroline St.,Hammersmith,,London,,GBR,41.53155,-72.188584
Seedcamp,"[{'description': '', 'address1': '8 Clifford Street', 'address2': '', 'zip_code': 'W1S 2LQ', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.5108803, 'longitude': -0.1418973}]",,8 Clifford Street,,W1S 2LQ,London,,GBR,51.5108803,-0.1418973
Wonga,"[{'description': '', 'address1': '88 Crawford Street', 'address2': '', 'zip_code': 'W1H 2EJ', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.5192042, 'longitude': -0.1626103}]",,88 Crawford Street,,W1H 2EJ,London,,GBR,51.5192042,-0.1626103
Webjam,"[{'description': 'Webjam Mark2 Ltd', 'address1': 'Tolworth Tower', 'address2': 'Ewell Road', 'zip_code': 'KT6 7EL', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.519819, 'longitude': -0.136174}]",Webjam Mark2 Ltd,Tolworth Tower,Ewell Road,KT6 7EL,London,,GBR,51.519819,-0.136174
Songkick,"[{'description': '', 'address1': '12-18 Hoxton Street', 'address2': '', 'zip_code': 'N1 6NG', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.54202, 'longitude': -0.0558343}]",,12-18 Hoxton Street,,N1 6NG,London,,GBR,51.54202,-0.0558343
Skinkers,"[{'description': None, 'address1': '28-30 Kirby Street', 'address2': None, 'zip_code': None, 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.604922, 'longitude': 0.239866}]",,28-30 Kirby Street,,,London,,GBR,51.604922,0.239866
betNOW,"[{'description': None, 'address1': '14 Garrick Street', 'address2': None, 'zip_code': 'WC2E 9SB', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.511599, 'longitude': -0.126389}]",,14 Garrick Street,,WC2E 9SB,London,,GBR,51.511599,-0.126389
WAYN,"[{'description': None, 'address1': None, 'address2': None, 'zip_code': None, 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.500152, 'longitude': -0.126236}]",,,,,London,,GBR,51.500152,-0.126236
