name,offices,description,address1,address2,zip_code,city,state_code,country_code,latitude,longitude
Babelgum,"[{'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 53.344104, 'longitude': -6.267494}]",,,,,London,,GBR,53.344104,-6.267494
blinkbox,"[{'description': None, 'address1': '20-24 Kirby Street', 'address2': None, 'zip_code': 'EC1N 8TS', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.520779, 'longitude': -0.10759}]",,20-24 Kirby Street,,EC1N 8TS,London,,GBR,51.520779,-0.10759
idiomag,"[{'description': None, 'address1': '', 'address2': '', 'zip_code': '', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.500152, 'longitude': -0.126236}]",,,,,London,,GBR,51.500152,-0.126236
Playfish,"[{'description': 'Corporate Headquarters', 'address1': '125 Kensington High St', 'address2': 'W8 5SF', 'zip_code': 'London', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.4991094, 'longitude': -0.1984802}, {'description': 'Playfish Arctic', 'address1': 'Strandvn. 106', 'address2': '', 'zip_code': '9291', 'city': 'TromsÃ¸', 'state_code': None, 'country_code': 'NOR', 'latitude': 69.636216, 'longitude': 18.931062}]",Corporate Headquarters,125 Kensington High St,W8 5SF,London,London,,GBR,51.4991094,-0.1984802
Pikum,"[{'description': None, 'address1': '7 Chalcot Road', 'address2': '', 'zip_code': 'Nw1 8lh', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.539778, 'longitude': -0.152998}]",,7 Chalcot Road,,Nw1 8lh,London,,GBR,51.539778,-0.152998
Vigster,"[{'description': 'London Office', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.500152, 'longitude': -0.126236}]",London Office,,,,London,,GBR,51.500152,-0.126236
Mixcloud,"[{'description': 'Office', 'address1': 'Tabernacle Street', 'address2': '', 'zip_code': '', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.5399105, 'longitude': -0.2859795}]",Office,Tabernacle Street,,,London,,GBR,51.5399105,-0.2859795
Illumina Digital,"[{'description': '8 Canham Mews', 'address1': 'Canham Road', 'address2': '', 'zip_code': 'W3 7SR', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.503612, 'longitude': -0.25628}]",8 Canham Mews,Canham Road,,W3 7SR,London,,GBR,51.503612,-0.25628
BeatPick,"[{'description': 'London Office', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.5001524, 'longitude': -0.1262362}, {'description': 'Rome Office', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Roma', 'state_code': None, 'country_code': 'ITA', 'latitude': 41.8954656, 'longitude': 12.4823243}]",London Office,,,,London,,GBR,51.5001524,-0.1262362
CareerPlayer,"[{'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.5001524, 'longitude': -0.1262362}]",,,,,London,,GBR,51.5001524,-0.1262362
