name,lat,lon,type,city,category
Wet paws dog grooming parlour,51.490143,0.12614,"{'typepoint': {'type': 'Point', 'coordinates': [51.490143, 0.12614]}}",London,pet grooming
Celia Hammond Animal Trust,51.517926,0.012533,"{'typepoint': {'type': 'Point', 'coordinates': [51.517926, 0.012533]}}",London,pet grooming
H & I's Grooming,51.458059,0.133845,"{'typepoint': {'type': 'Point', 'coordinates': [51.458059, 0.133845]}}",London,pet grooming
Animal Ark Veterinary Centre,51.565823,0.11017,"{'typepoint': {'type': 'Point', 'coordinates': [51.565823, 0.11017]}}",London,pet grooming
The Pet Grooming School,51.468002,0.069073,"{'typepoint': {'type': 'Point', 'coordinates': [51.468002, 0.069073]}}",London,pet grooming
Barrier Animal Care Clinic,51.492611,0.039651,"{'typepoint': {'type': 'Point', 'coordinates': [51.492611, 0.039651]}}",London,pet grooming
Animal Protection Shop,51.482343,0.14596,"{'typepoint': {'type': 'Point', 'coordinates': [51.482343, 0.14596]}}",London,pet grooming
About Grooming Time,51.48314,0.15117,"{'typepoint': {'type': 'Point', 'coordinates': [51.48314, 0.15117]}}",London,pet grooming
Bexleyheath Dog Grooming,51.478798,0.127427,"{'typepoint': {'type': 'Point', 'coordinates': [51.478798, 0.127427]}}",London,pet grooming
Animal Welfare 2000,51.487564,0.092368,"{'typepoint': {'type': 'Point', 'coordinates': [51.487564, 0.092368]}}",London,pet grooming
