name,lat,lon,type,city,category
A Tu Bola,41.380092,2.168815,"{'typepoint': {'type': 'Point', 'coordinates': [41.380092, 2.168815]}}",Barcelona,vegan restaurants
Maoz Vegetarian,41.380911,2.174652,"{'typepoint': {'type': 'Point', 'coordinates': [41.380911, 2.174652]}}",Barcelona,vegan restaurants
Quinoa Bar Vegetarià,41.402766,2.159899,"{'typepoint': {'type': 'Point', 'coordinates': [41.402766, 2.159899]}}",Barcelona,vegan restaurants
La Papa,41.389798,2.157615,"{'typepoint': {'type': 'Point', 'coordinates': [41.389798, 2.157615]}}",Barcelona,vegan restaurants
Teresa Carles,41.385039,2.167858,"{'typepoint': {'type': 'Point', 'coordinates': [41.385039, 2.167858]}}",Barcelona,vegan restaurants
Menssana,41.390787,2.190208,"{'typepoint': {'type': 'Point', 'coordinates': [41.390787, 2.190208]}}",Barcelona,vegan restaurants
La Cerería,41.381564,2.176641,"{'typepoint': {'type': 'Point', 'coordinates': [41.381564, 2.176641]}}",Barcelona,vegan restaurants
Federal,41.378062,2.177878,"{'typepoint': {'type': 'Point', 'coordinates': [41.378062, 2.177878]}}",Barcelona,vegan restaurants
Flax & Kale,41.385204,2.165382,"{'typepoint': {'type': 'Point', 'coordinates': [41.385204, 2.165382]}}",Barcelona,vegan restaurants
Green Spot,41.381781,2.183982,"{'typepoint': {'type': 'Point', 'coordinates': [41.381781, 2.183982]}}",Barcelona,vegan restaurants
