name,lat,lon,type,city,category
Mildreds,51.513024,-0.136479,"{'typepoint': {'type': 'Point', 'coordinates': [51.513024, -0.136479]}}",London,vegan restaurants
Black Cat,51.551292,-0.05547,"{'typepoint': {'type': 'Point', 'coordinates': [51.551292, -0.05547]}}",London,vegan restaurants
What the Pitta,51.523478,-0.076177,"{'typepoint': {'type': 'Point', 'coordinates': [51.523478, -0.076177]}}",London,vegan restaurants
222 Veggie Vegan,51.486001,-0.203059,"{'typepoint': {'type': 'Point', 'coordinates': [51.486001, -0.203059]}}",London,vegan restaurants
Mildreds,51.531369,-0.117538,"{'typepoint': {'type': 'Point', 'coordinates': [51.531369, -0.117538]}}",London,vegan restaurants
Purezza,51.538144,-0.144202,"{'typepoint': {'type': 'Point', 'coordinates': [51.538144, -0.144202]}}",London,vegan restaurants
Farmacy,51.515491,-0.192777,"{'typepoint': {'type': 'Point', 'coordinates': [51.515491, -0.192777]}}",London,vegan restaurants
The Gate Hammersmith,51.490254,-0.225387,"{'typepoint': {'type': 'Point', 'coordinates': [51.490254, -0.225387]}}",London,vegan restaurants
Mildreds,51.545444,-0.074703,"{'typepoint': {'type': 'Point', 'coordinates': [51.545444, -0.074703]}}",London,vegan restaurants
Mildreds Camden,51.540535,-0.145131,"{'typepoint': {'type': 'Point', 'coordinates': [51.540535, -0.145131]}}",London,vegan restaurants
